"id","raw_id","aircraft_model","published_date","event_tag","airline","event_location","event_date","event_description","aircraft_tail_extracted","ac_manufacturer_extracted","ac_model_extracted","flight_number_extracted"
118314,1884,B38M,2023-03-30 00:00:00.000 +0200,Incident,Southwest,Havana,2023-03-05 00:00:00.000 +0100,"bird strike, engine fire",N8792Q,Boeing,"737-8 MAX",WN-3923
118419,1988,B738,2023-03-02 00:00:00.000 +0100,Incident,American,Tampa,2023-03-01 00:00:00.000 +0100,bird strike,N309PC,Boeing,"737-800",AA-2401
118431,2000,A20N,2023-02-27 00:00:00.000 +0100,Incident,Indigo,Surat,2023-02-26 00:00:00.000 +0100,bird strike,VT-IZI,Airbus,A320-200N,"6E-646"
118432,2001,A20N,2023-02-26 00:00:00.000 +0100,Incident,TAP,Bissau,2023-02-25 00:00:00.000 +0100,bird strike,CS-TVB,Airbus,A320-200N,TP-1478
118440,2008,E170,2023-02-23 00:00:00.000 +0100,Incident,Jazz,New York,2023-02-20 00:00:00.000 +0100,bird strike,C-FJBO,Embraer,ERJ,AC-8638
118473,2041,B738,2023-02-14 00:00:00.000 +0100,Accident,United,Newark,2023-02-13 00:00:00.000 +0100,bird strike,N11206,Boeing,"737-800",UA-2138
118488,2056,BCS3,2023-02-10 00:00:00.000 +0100,Incident,Delta,Salt Lake City,2023-02-09 00:00:00.000 +0100,bird strike,N303DU,Bombardier C-Series,CS-300,DL-2155
118497,2065,B738,2023-02-07 00:00:00.000 +0100,Incident,Southwest,Saint Louis,2023-02-05 00:00:00.000 +0100,bird strike,N8678E,Boeing,"737-800",WN-1260
118511,2079,A321,2023-02-02 00:00:00.000 +0100,Incident,Canada Rouge,Orlando,2023-01-30 00:00:00.000 +0100,bird strike,C-FJQD,Airbus,A321-200,RV-1637
118530,2098,A320,2023-01-29 00:00:00.000 +0100,Incident,Asia India,Lucknow,2023-01-29 00:00:00.000 +0100,rejected takeoff due to bird strike,VT-RED,Airbus,A320-200,I5-319
118576,2145,A35K,2023-01-18 00:00:00.000 +0100,Incident,Caraibes,Fort de France,2023-01-17 00:00:00.000 +0100,bird strike,F-HMIL,Airbus,A350-1000,TX-510
118584,2153,CRJ9,2023-01-16 00:00:00.000 +0100,Incident,Uganda,Entebbe,2023-01-16 00:00:00.000 +0100,bird strike,"5X-KNP",CRJ,"900",UR-710
118585,2154,A320,2023-01-16 00:00:00.000 +0100,Incident,Jetblue,West Palm Beach,2023-01-15 00:00:00.000 +0100,bird strike,N821JB,Airbus,A320-200,B6-62
118586,2155,A320,2023-01-16 00:00:00.000 +0100,Incident,Jetblue,Orlando,2023-01-12 00:00:00.000 +0100,bird strike,N585JB,Airbus,A320-200,B6-127
118600,2169,B737,2023-01-11 00:00:00.000 +0100,Incident,Southwest,Sacramento,2023-01-10 00:00:00.000 +0100,bird strike,N752SW,Boeing,"737-700",WN-1096
118612,2181,B737,2023-01-09 00:00:00.000 +0100,Incident,Southwest,Columbus,2023-01-07 00:00:00.000 +0100,bird strike,N421LV,Boeing,"737-700",WN-1979
118632,2200,CRJ9,2023-01-04 00:00:00.000 +0100,Incident,China Express,Hangzhou,2023-01-03 00:00:00.000 +0100,bird strike breaks windshield,B-3298,CRJ,"900",G5-4064
118637,2205,A20N,2023-01-03 00:00:00.000 +0100,Incident,Gofirst,Patna,2023-01-03 00:00:00.000 +0100,bird strike,VT-WDA,Airbus,A320-200N,G8-274
118641,2209,A320,2023-01-02 00:00:00.000 +0100,Incident,Arabia,Coimbatore,2023-01-02 00:00:00.000 +0100,bird strike on runway,A6-AOQ,Airbus,A320-200,G9-414
118629,2197,B738,2023-01-05 00:00:00.000 +0100,Incident,Argentina,Buenos Aires,2023-01-02 00:00:00.000 +0100,bird strike,LV-GGQ,Boeing,"737-800",AR-1888
118636,2204,A20N,2023-01-03 00:00:00.000 +0100,Incident,Frontier,Orlando,2023-01-01 00:00:00.000 +0100,bird strike,N352FR,Airbus,A320-200N,G9-1047
118644,2212,A320,2023-01-02 00:00:00.000 +0100,Incident,Malta,Berlin,2022-12-31 00:00:00.000 +0100,bird strike,"9H-AEP",Airbus,A320-200,KM-377
118662,2230,B789,2022-12-29 00:00:00.000 +0100,Incident,Biman,Dhaka,2022-12-26 00:00:00.000 +0100,bird strike,S2-AJX,Boeing,"787-9",BG-202
118595,2164,B738,2023-01-13 00:00:00.000 +0100,Accident,Ethiopian,Mogadishu,2022-12-26 00:00:00.000 +0100,rejected takeoff due to bird strike,ET-APL,Boeing,"737-800",ET-379
118682,2250,AT72,2022-12-23 00:00:00.000 +0100,Incident,Voepass,Sao Paulo,2022-12-22 00:00:00.000 +0100,bird strike,PP-PTN,ATR,"72-212A",P3-2233
118714,2282,B738,2022-12-14 00:00:00.000 +0100,Incident,Anadolu,Istanbul,2022-12-14 00:00:00.000 +0100,bird strike,TC-JFJ,Boeing,"737-800 ",
118736,2305,B772,2022-12-08 00:00:00.000 +0100,Incident,American,New York,2022-12-07 00:00:00.000 +0100,bird strike,N755AN,Boeing,"777-200",AA-974
118753,2322,A321,2022-12-02 00:00:00.000 +0100,Incident,Delta,Little Rock,2022-12-01 00:00:00.000 +0100,bird strike,N336DX,Airbus,A321-200,DL-2153
118770,2338,A320,2022-11-29 00:00:00.000 +0100,Incident,Lufthansa,Munich,2022-11-29 00:00:00.000 +0100,rejected takeoff due to bird strike,D-AIWK,Airbus,A320-200,LH-1622
118772,2340,B738,2022-11-28 00:00:00.000 +0100,Incident,American,Orlando,2022-11-25 00:00:00.000 +0100,bird strike,N830NN,Boeing,"737-800",AA-617
118778,2346,A320,2022-11-25 00:00:00.000 +0100,Incident,United,San Francisco,2022-11-23 00:00:00.000 +0100,bird strike,N409UA,Airbus,A320-200,UA-1189
118785,2353,AT42,2022-11-24 00:00:00.000 +0100,Incident,PIA,Islamabad,2022-11-23 00:00:00.000 +0100,bird strike,AP-BHI,ATR,"42-500",PK-632
117582,1157,A320,2023-10-17 00:00:00.000 +0200,Accident,Delta,Omaha,2022-11-19 00:00:00.000 +0100,bird strike,N330NW,Airbus,A320-200,DL-2295
